epsilon,alpha_fail,a_true,a_hat,abs_error,ci_low,ci_high,shots_total,grover_calls,ks_used
0.3,0.005,0.04418837675350702,0.04785156249999999,0.003663185746492971,0.009605518270612234,0.08609760672938775,2048,0,0
0.2,0.005,0.04418837675350702,0.04638671875,0.002198341996492978,0.008140674520612234,0.08463276297938777,2048,0,0
0.15,0.005,0.04418837675350702,0.03973016881435226,0.00445820793915476,0.0,0.07946033762870452,2048,0,0
0.1,0.005,0.04418837675350702,0.043924608898062975,0.000263767855444047,0.040064717149471955,0.047784500646653995,4096,4096,0;2
0.07,0.005,0.04418837675350702,0.04488979654105485,0.0007014197875478273,0.04081508651091306,0.048964506571196637,4096,4096,0;2
0.05,0.005,0.04418837675350702,0.04450547439231227,0.0003170976388052471,0.04047090992024355,0.048540038864381,4096,4096,0;2
0.03,0.005,0.04418837675350702,0.04475392161718323,0.0005655448636762081,0.040612041418958494,0.048895801815407966,4096,4096,0;2
0.02,0.005,0.04418837675350702,0.044472874667895936,0.0002844979143889134,0.04029920573110291,0.04864654360468896,4096,4096,0;2
0.01,0.005,0.04418837675350702,0.04418033395440997,8.042799097052189e-06,0.043895538201627185,0.044465129707192755,6144,67584,0;2;31
0.005,0.005,0.04418837675350702,0.04417074235826249,1.763439524453403e-05,0.04388314399497471,0.04445834072155027,6144,67584,0;2;31
0.3,0.01,0.04418837675350702,0.050781249999999986,0.006592873246492964,0.014815509171853706,0.08674699082814627,2048,0,0
0.2,0.01,0.04418837675350702,0.04345703124999999,0.000731345503507029,0.007491290421853702,0.07942277207814628,2048,0,0
0.15,0.01,0.04418837675350702,0.046875,0.002686623246492978,0.008628955770612234,0.08512104422938777,2048,0,0
0.1,0.01,0.04418837675350702,0.04404601100817995,0.00014236574532706936,0.0403801459813386,0.04771187603502131,4096,4096,0;2
0.07,0.01,0.04418837675350702,0.04520768980693575,0.0010193130534287276,0.0413049912135177,0.049110388400353804,4096,4096,0;2
0.05,0.01,0.04418837675350702,0.04257628773713201,0.0016120890163750096,0.038926444290915824,0.0462261311833482,4096,4096,0;2
0.03,0.01,0.04418837675350702,0.04425537635914274,6.699960563572027e-05,0.040362756343517735,0.04814799637476774,4096,4096,0;2
0.02,0.01,0.04418837675350702,0.04537005130602003,0.0011816745525130082,0.04129758251893746,0.0494425200931026,4096,4096,0;2
0.01,0.01,0.04418837675350702,0.04412452489365065,6.385185985637032e-05,0.04381526112309253,0.04443378866420877,6144,73728,0;2;34
0.005,0.01,0.04418837675350702,0.04416936762347684,1.9009130030181454e-05,0.043919503041184735,0.044419232205768946,6144,75776,0;2;35
0.3,0.02,0.04418837675350702,0.04541015625,0.001221779496492978,0.01187943708922895,0.07894087541077105,2048,0,0
0.2,0.02,0.04418837675350702,0.04345703125000001,0.0007313455035070152,0.00992631208922895,0.07698775041077106,2048,0,0
0.15,0.02,0.04418837675350702,0.05029296875000001,0.006104591996492985,0.0143272279218537,0.08625870957814631,2048,0,0
0.1,0.02,0.04418837675350702,0.04374449900421845,0.00044387774928857093,0.04032333187336402,0.04716566613507289,4096,4096,0;2
0.07,0.02,0.04418837675350702,0.044132102957839564,5.627379566745805e-05,0.04054735820220283,0.0477168477134763,4096,4096,0;2
0.05,0.02,0.04418837675350702,0.04567510139510403,0.0014867246415970065,0.04194444414701097,0.049405758643197094,4096,4096,0;2
0.03,0.02,0.04418837675350702,0.04673349345314036,0.0025451166996333374,0.042801734253917936,0.05066525265236278,4096,4096,0;2
0.02,0.02,0.04418837675350702,0.04395820312295163,0.0002301736305553928,0.040233126751845344,0.047683279494057915,4096,4096,0;2
0.01,0.02,0.04418837675350702,0.0442944242621984,0.00010604750869137869,0.04048257111390122,0.04810627741049559,4096,4096,0;2
0.005,0.02,0.04418837675350702,0.04422450187415759,3.612512065057083e-05,0.0439857038440973,0.04446329990421788,6144,75776,0;2;35
0.3,0.05,0.04418837675350702,0.0478515625,0.003663185746492978,0.017841475271252457,0.07786164972874754,2048,0,0
0.2,0.05,0.04418837675350702,0.046875,0.002686623246492978,0.01686491277125246,0.07688508722874754,2048,0,0
0.15,0.05,0.04418837675350702,0.0498046875,0.005616310746492978,0.017096420634329368,0.08251295436567063,2048,0,0
0.1,0.05,0.04418837675350702,0.041992187499999986,0.002196189253507036,0.009283920634329368,0.0747004543656706,2048,0,0
0.07,0.05,0.04418837675350702,0.04472369828773812,0.0005353215342310952,0.04138893010134158,0.048058466474134656,4096,4096,0;2
0.05,0.05,0.04418837675350702,0.0427613924303797,0.0014269843231273227,0.03958880701403708,0.04593397784672232,4096,4096,0;2
0.03,0.05,0.04418837675350702,0.044828424515186545,0.0006400477616795228,0.04138573237351395,0.04827111665685914,4096,4096,0;2
0.02,0.05,0.04418837675350702,0.044167596028911044,2.078072459597846e-05,0.04070934162734314,0.047625850430478955,4096,4096,0;2
0.01,0.05,0.04418837675350702,0.044505353003951455,0.0003169762504444326,0.04095758213856101,0.0480531238693419,4096,4096,0;2
0.005,0.05,0.04418837675350702,0.04421138587282071,2.300911931368832e-05,0.04399936068241525,0.04442341106322618,6144,81920,0;2;38
0.3,0.1,0.04418837675350702,0.04785156250000001,0.003663185746492985,0.020807525271839263,0.07489559972816075,2048,0,0
0.2,0.1,0.04418837675350702,0.04443359375,0.0002452169964929779,0.01738955652183927,0.07147763097816073,2048,0,0
0.15,0.1,0.04418837675350702,0.04101562499999999,0.003172751753507029,0.01100553777125246,0.07102571222874753,2048,0,0
0.1,0.1,0.04418837675350702,0.04052734375,0.003661033003507022,0.010517256521252462,0.07053743097874754,2048,0,0
0.07,0.1,0.04418837675350702,0.04441668818671682,0.0002283114332097963,0.04135681546866151,0.04747656090477212,4096,4096,0;2
0.05,0.1,0.04418837675350702,0.04479868020407189,0.0006103034505648697,0.04170856248275887,0.04788879792538491,4096,4096,0;2
0.03,0.1,0.04418837675350702,0.04256897531039909,0.0016194014431079318,0.03954816604258436,0.045589784578213825,4096,4096,0;2
0.02,0.1,0.04418837675350702,0.04467031528848122,0.0004819385349741981,0.041404099667985354,0.047936530908977086,4096,4096,0;2
0.01,0.1,0.04418837675350702,0.043358208113050946,0.0008301686404560762,0.040137653023049405,0.04657876320305249,4096,4096,0;2
0.005,0.1,0.04418837675350702,0.04402165729890842,0.0001667194545986045,0.043850682159497265,0.04419263243831958,6144,90112,0;2;42
